63991, 100000.00000000003
200253, 99999.96643156842
147463, 99999.95454384598
138377, 99999.93932591222
147457, 99999.87152312005
147317, 99999.86833345958
229740, 99999.85997723881
147492, 99999.85988439879
147340, 99999.83980656692
147461, 99999.839587292
188764, 99999.83063884573
147347, 99999.8232538509
188765, 99999.75768121357
147338, 99999.75315266511
147244, 99999.75262204214
147245, 99999.74847559659
188793, 99999.72064702367
147346, 99999.70595376541
198556, 99999.63750322632
146090, 99999.57122590177
64178, 99999.50968296126
188792, 99999.47405478166
188785, 99999.4568278327
147301, 99999.41827112644
188784, 99999.4080526629
212989, 99999.39876044588
147240, 99999.35516215279
64420, 99999.35072797682
188790, 99999.32432373846
64106, 99999.3170379417
188791, 99999.23854757326
188786, 99999.23133476113
147344, 99999.22770746957
67488, 99999.21129663354
147122, 99999.13438281036
200254, 99999.11539789912
147243, 99999.11416105152
147242, 99999.08351780518
188766, 99999.02843042271
188771, 99998.98559778363
190892, 99998.98240304916
147348, 99998.95883593593
147302, 99998.8515581626
200252, 99998.81340559143
67487, 99998.74127012012
147488, 99998.7232622497
66818, 99998.71359951978
190877, 99998.68430346843
64415, 99998.6726515302
199418, 99998.57233904529
191051, 99998.55402887636
62207, 99998.46554656059
147339, 99998.36335388036
147345, 99998.28514035331
64101, 99998.16905527913
212494, 99998.11602048822
67491, 99998.09406577187
190880, 99998.09187348803
229714, 99998.06035301655
147241, 99998.03589770719
188772, 99997.99589750086
124417, 99997.99053280792
146927, 99997.98803094428
62211, 99997.95718068504
138394, 99997.94063808159
147337, 99997.93973369102
66817, 99997.90259341721
147333, 99997.88207162904
206172, 99997.86625349776
191134, 99997.85433632533
67484, 99997.83323506152
188794, 99997.78652404617
190882, 99997.74112412299
147351, 99997.72475607396
67485, 99997.66413732445
62200, 99997.59722612376
138344, 99997.5903862247
198562, 99997.56955264078
147356, 99997.54639184117
146907, 99997.54215175164
188763, 99997.5013031189
190879, 99997.49691566713
124419, 99997.42534768149
212488, 99997.36284529099
101221, 99997.30594336535
66819, 99997.30305634027
62199, 99997.2348813045
189910, 99997.19796467197
188937, 99997.1880104238
31449, 99997.14721911377
188761, 99997.1368076216
188767, 99997.13275192323
147300, 99997.10681168683
190894, 99997.08560422728
63869, 99997.0807355715
191050, 99997.07769174759
147311, 99997.0442797408
147354, 99997.03795299183
62209, 99996.96142349837
85942, 99996.95994126749
64419, 99996.92561403979
62203, 99996.91602504824
185498, 99996.90612838248
188762, 99996.8385474085
62213, 99996.76549290174
188787, 99996.76375009981
62205, 99996.76106112069
138375, 99996.75922836203
62202, 99996.73139072351
199807, 99996.62335916038
212487, 99996.58583426247
62208, 99996.57611388732
229777, 99996.53702650637
147315, 99996.52978249878
62227, 99996.52036295508
136466, 99996.47647491643
87758, 99996.47005870026
188769, 99996.4544758428
26475, 99996.4463230562
147332, 99996.41941396738
64411, 99996.40901232252
147188, 99996.38780768546
147316, 99996.34076087938
62201, 99996.31990142241
88691, 99996.3117987956
138346, 99996.2958554811
191053, 99996.27392742707
147246, 99996.25872364972
189926, 99996.25152309972
200251, 99996.22805502434
74235, 99996.22188347585
191099, 99996.21800150984
147314, 99995.98957215137
188936, 99995.95271445817
138397, 99995.93899573202
85944, 99995.93021522438
31450, 99995.92929618033
147464, 99995.88698857251
147239, 99995.88116269054
147303, 99995.87206492337
190974, 99995.84959204258
199790, 99995.83724113725
85940, 99995.81627697765
199788, 99995.81510708376
67482, 99995.81316571528
62204, 99995.79979660768
206185, 99995.77544367308
138379, 99995.7675357815
189912, 99995.73104423916
147494, 99995.71919674633
189908, 99995.67208821411
62194, 99995.66580777109
191066, 99995.52500389765
191140, 99995.49083666089
229796, 99995.4538904701
191054, 99995.44727262518
147357, 99995.44701344836
147341, 99995.41083478683
199798, 99995.40919762412
63925, 99995.40700533381
67481, 99995.37264779766
147353, 99995.31409702962
62210, 99995.31345241063
147350, 99995.30423222738
147331, 99995.29848153293
62214, 99995.24436069374
199799, 99995.2320239727
188770, 99995.22058124689
199795, 99995.2184183206
62212, 99995.2039406071
85941, 99995.19996792654
189911, 99995.1792759369
62189, 99995.17226014334
190893, 99995.11454579773
185648, 99995.09666259232
62198, 99995.03559788826
62233, 99995.01813877517
62206, 99994.98369252351
199824, 99994.9562465836
190878, 99994.93427211138
63982, 99994.91372616061
229778, 99994.83419892551
147247, 99994.80492927515
146924, 99994.77852698206
147462, 99994.76064729276
67499, 99994.7549197919
85943, 99994.74347279196
74236, 99994.74339638498
190896, 99994.72641684592
212858, 99994.6988142281
229791, 99994.69655915907
198559, 99994.68087419787
188768, 99994.65585148013
199797, 99994.59649534029
215669, 99994.58769107555
189909, 99994.55076318195
206190, 99994.51255522977
147335, 99994.50226313193
188773, 99994.50099382852
199796, 99994.4916087077
31424, 99994.47619879934
190903, 99994.47515920493
124418, 99994.4615459335
229800, 99994.45224015538
190901, 99994.43583942301
199786, 99994.39400516797
208261, 99994.37492176925
188783, 99994.33351204345
212920, 99994.28570246868
74257, 99994.28516377605
64098, 99994.28293940169
190883, 99994.25237073825
147373, 99994.2350129032
208255, 99994.23333888063
199806, 99994.21172035666
31448, 99994.19527480677
199802, 99994.17411103852
212905, 99994.17272729034
147312, 99994.17022514499
147334, 99994.14550453122
146926, 99994.14526783311
198465, 99994.14242814928
67483, 99994.09134620118
190884, 99994.0752869494
199794, 99993.9935257865
58035, 99993.97923562389
199801, 99993.97750670256
229724, 99993.97592061743
62196, 99993.95831016682
62219, 99993.9482745425
147319, 99993.94445808018
85938, 99993.9136583219
229675, 99993.88871159033
